Station,Date,Time,Grade,Celsius,pH,DO,CODMn,NH,TP,TN,EC,TU,Chla,AD
Lanshanzui,2022/1/1 16:00,0.67 ,4,6.06,7.829,12.434,4.85,0.0682,0.0567,1.942,499.165,35.33,0.00639,4033630
Tuoshan,2022/1/1 16:00,0.67 ,4,6.53,8.584,13.02,3.226,0.025,0.0501,0.809,396.795,33.611,0.00498,9480223
Xuhuxin,2022/1/1 16:00,0.67 ,2,7.45,7.868,12.079,2.658,0.0341,0.0102,0.45,381.481,7.715,0.00103,1214000
Xidong,2022/1/1 16:00,0.67 ,4,9.09,8.13,11.495,2.029,0.025,0.0677,1.924,391,34.6,0.00166,2436720
Wuguishan,2022/1/1 20:00,0.83 ,2,6.97,8.217,12.334,2.978,0.025,0.0217,1.031,394,20.799,0.01175,13017400
Wulihuxin,2022/1/1 20:00,0.83 ,3,6.57,8.332,12.151,3.051,0.025,0.0455,0.587,428.249,5.225,0.02228,3829640
Lanshanzui,2022/1/1 20:00,0.83 ,3,6.14,7.839,12.442,4.013,0.0388,0.0497,1.846,486.896,30.9,0.00845,3932430
Tuoshan,2022/1/1 20:00,0.83 ,4,6.43,8.583,12.934,3.639,0.025,0.0537,0.905,402.963,36.082,0.00518,13487040
Xuhuxin,2022/1/1 20:00,0.83 ,2,7.49,7.736,11.005,2.504,0.0324,0.011,0.488,382.754,6.159,0.00078,857599
Xidong,2022/1/1 20:00,0.83 ,4,9.09,8.13,11.432,1.826,0.025,0.0668,1.918,391.3,33.5,0.00266,2152700
Wuguishan,2022/1/2 0:00,1.00 ,2,6.78,8.168,12.292,2.944,0.0386,0.0127,1.002,394.21,17.403,0.01184,16674200
Wulihuxin,2022/1/2 0:00,1.00 ,4,6.47,8.27,12.064,3.133,0.025,0.0501,0.63,428.281,7.659,0.02925,4029480
Lanshanzui,2022/1/2 0:00,1.00 ,4,6.3,7.812,12.065,4.079,0.0923,0.0607,1.9,504.816,30.23,0.00751,4658560
Tuoshan,2022/1/2 0:00,1.00 ,4,6.29,8.544,12.8,3.111,0.025,0.0551,0.851,403.724,34.759,0.0047,9875767
Xuhuxin,2022/1/2 0:00,1.00 ,2,7.2,7.879,12.249,2.504,0.0373,0.011,0.488,382.267,9.802,0.00333,1815690
Xidong,2022/1/2 0:00,1.00 ,4,8.68,8.13,11.493,1.945,0.025,0.0685,1.924,390.9,32.7,0.00267,2284900
Wuguishan,2022/1/2 4:00,1.17 ,2,6.68,8.176,12.283,2.899,0.0393,0.005,1.051,392.683,17.531,0.01218,16757200
Wulihuxin,2022/1/2 4:00,1.17 ,4,6.32,8.274,11.958,3.001,0.025,0.0512,0.693,428.518,7.041,0.02555,3969360
Lanshanzui,2022/1/2 4:00,1.17 ,4,6.28,7.824,12.027,4.053,0.0734,0.0786,1.945,502.747,25.2,0.00557,6825430
Tuoshan,2022/1/2 4:00,1.17 ,4,6.17,8.516,12.787,3.162,0.025,0.0521,0.906,407.96,35.937,0.0051,9279533
Xuhuxin,2022/1/2 4:00,1.17 ,2,6.91,7.87,12.136,2.582,0.0326,0.0125,0.445,382.721,12.138,0.00337,1951870
Xidong,2022/1/2 4:00,1.17 ,4,8.21,8.13,11.582,2.01,0.025,0.0667,1.917,390.6,32.9,0.00271,2474840
Wuguishan,2022/1/2 8:00,1.33 ,2,6.6,8.165,12.25,2.986,0.0424,0.0226,0.432,391.34,19.76,0.01084,16838800
Wulihuxin,2022/1/2 8:00,1.33 ,3,6.2,8.273,11.983,3.093,0.025,0.0473,0.456,428.054,9.176,0.02219,3652670
Lanshanzui,2022/1/2 8:00,1.33 ,3,5.77,7.852,12.252,4.015,0.0547,0.0442,1.771,501.781,25.11,0.00637,1784520
Tuoshan,2022/1/2 8:00,1.33 ,3,6.08,8.542,12.629,3.276,0.025,0.0498,0.923,419.696,37.112,0.00453,8943584
Xuhuxin,2022/1/2 8:00,1.33 ,2,6.89,7.798,11.527,2.478,0.0425,0.0109,0.254,383.462,10.617,0.00231,1452230
Xidong,2022/1/2 8:00,1.33 ,4,8.08,8.11,11.456,1.773,0.025,0.065,1.893,391.2,33.1,0.00243,2580180
Wuguishan,2022/1/2 12:00,1.50 ,3,6.99,8.214,12.431,2.87,0.0413,0.0252,0.923,395.702,16.208,0.01116,17758900
Wulihuxin,2022/1/2 12:00,1.50 ,3,6.42,8.346,12.574,3.139,0.025,0.0424,0.523,426.624,8.558,0.01687,3108030
Lanshanzui,2022/1/2 12:00,1.50 ,3,6.9,7.909,12.322,4.165,0.025,0.0468,1.78,492.775,29,0.00301,3512370
Tuoshan,2022/1/2 12:00,1.50 ,4,6.68,8.572,12.403,3.859,0.025,0.0548,1.004,419.456,43.854,0.00435,8376918
Xuhuxin,2022/1/2 12:00,1.50 ,2,7.06,7.9,12.572,2.444,0.0355,0.0119,0.539,381.221,9.816,0.00224,1713060
Xidong,2022/1/2 12:00,1.50 ,4,9.18,8.15,11.681,2.035,0.025,0.0646,1.897,391.5,34.1,0.00154,2162180
Wuguishan,2022/1/2 16:00,1.67 ,3,7.36,8.267,12.559,3.116,0.025,0.0342,0.977,400.321,18.811,0.01318,11284600
Wulihuxin,2022/1/2 16:00,1.67 ,3,6.85,8.411,12.778,3.167,0.025,0.0414,0.448,426.853,7.584,0.02393,3599560
Lanshanzui,2022/1/2 16:00,1.67 ,3,6.88,7.912,12.443,4.029,0.0266,0.0411,1.856,496.619,25.43,0.00405,2387680
Tuoshan,2022/1/2 16:00,1.67 ,3,7.01,8.639,12.993,3.311,0.025,0.0471,0.963,412.26,40.845,0.0045,8273662
Xuhuxin,2022/1/2 16:00,1.67 ,2,7.97,7.933,12.516,2.432,0.037,0.0118,0.525,379.68,8.624,0.00196,1370070
Xidong,2022/1/2 16:00,1.67 ,4,9.79,8.17,11.771,2.026,0.025,0.0641,1.908,391.1,32.8,0.00232,2207400
Wuguishan,2022/1/2 20:00,1.83 ,2,7.28,8.282,12.498,2.848,0.0315,0.0191,0.937,400.463,33.575,0.01463,14433000
Wulihuxin,2022/1/2 20:00,1.83 ,3,6.45,8.359,12.659,3.131,0.025,0.0456,0.594,427.578,7.902,0.02455,3331810
Lanshanzui,2022/1/2 20:00,1.83 ,3,6.88,7.874,12.158,5.476,0.0386,0.0453,1.807,498.118,30.19,0.00306,2641470
Tuoshan,2022/1/2 20:00,1.83 ,3,7.19,8.409,11.166,3.284,0.025,0.0479,0.952,409.31,44.478,0.0041,7672361
Xuhuxin,2022/1/2 20:00,1.83 ,2,7.97,7.791,11.754,2.506,0.0354,0.0126,0.458,380.005,6.13,0.00071,937328
Xidong,2022/1/2 20:00,1.83 ,4,9.65,8.19,11.808,1.957,0.025,0.0645,1.9,391.9,32.8,0.00239,2399090
Wuguishan,2022/1/3 0:00,2.00 ,2,7.17,8.249,12.488,3.305,0.0262,0.009,0.938,397.455,18.053,0.01113,11993100
Wulihuxin,2022/1/3 0:00,2.00 ,3,6.35,8.315,12.366,3.154,0.025,0.0489,0.741,428.312,8.932,0.02795,3524680
Lanshanzui,2022/1/3 0:00,2.00 ,4,6.84,7.804,11.659,4.226,0.0444,0.0561,1.879,502.57,23.58,0.0071,2870670
Tuoshan,2022/1/3 0:00,2.00 ,3,6.6,8.56,13.121,2.992,0.025,0.0469,0.888,404.112,35.702,0.00431,8916489
Xuhuxin,2022/1/3 0:00,2.00 ,2,7.6,7.936,12.551,2.506,0.0346,0.0126,0.458,379.675,9.767,0.00323,1863880
Xidong,2022/1/3 0:00,2.00 ,4,9.41,8.17,11.658,2.013,0.025,0.0649,1.902,391.9,32.6,0.00221,2236620
Wuguishan,2022/1/3 4:00,2.17 ,2,6.99,8.294,12.614,3.266,0.025,0.008,1.064,395.941,22.351,0.01571,11680000
Wulihuxin,2022/1/3 4:00,2.17 ,4,6.53,8.233,11.935,3.226,0.0517,0.0522,0.775,433.254,7.153,0.02617,3963830
Lanshanzui,2022/1/3 4:00,2.17 ,4,6.24,7.863,12.329,3.843,0.0382,0.0615,1.857,494.341,26.73,0.00534,1986070
Tuoshan,2022/1/3 4:00,2.17 ,3,6.64,8.561,12.767,3.344,0.025,0.0479,0.9,404.436,42.733,0.00483,8837196
Xuhuxin,2022/1/3 4:00,2.17 ,2,7.6,7.829,11.839,2.666,0.0287,0.0122,0.448,380.195,6.332,0.00133,1180970
Xidong,2022/1/3 4:00,2.17 ,4,9.25,8.15,11.515,2.085,0.025,0.0655,1.935,391.3,33.4,0.00316,2527900
Wuguishan,2022/1/3 8:00,2.33 ,2,6.86,8.313,12.554,3.008,0.0263,0.0193,0.467,394.745,11.755,0.017,13199200
Wulihuxin,2022/1/3 8:00,2.33 ,3,6.51,8.237,11.878,3.092,0.025,0.0437,0.454,429.471,7.341,0.01951,3362500
Lanshanzui,2022/1/3 8:00,2.33 ,3,6.18,7.796,12.063,4.265,0.166,0.0485,1.901,499.844,23.55,0.0042,791231
Tuoshan,2022/1/3 8:00,2.33 ,3,6.51,8.554,12.704,4.147,0.025,0.0439,0.834,396.671,48.11,0.0045,13071660
Xuhuxin,2022/1/3 8:00,2.33 ,2,7.45,7.707,10.851,2.586,0.0391,0.0116,0.289,381.316,5.656,0.00077,892444
Xidong,2022/1/3 8:00,2.33 ,4,9.08,8.1,11.394,2.029,0.025,0.0658,1.907,390.7,33.9,0.003,2555910
Wuguishan,2022/1/3 12:00,2.50 ,3,7.49,8.396,12.904,3.424,0.025,0.0327,0.895,401.056,15.539,0.01933,25899200
Wulihuxin,2022/1/3 12:00,2.50 ,3,7.18,8.357,12.53,3.369,0.0259,0.0487,0.648,431.198,6.423,0.01556,4523230
Lanshanzui,2022/1/3 12:00,2.50 ,4,6.55,7.852,12.292,4.326,0.1575,0.0542,2.004,499.956,22.1,0.00377,400586
Tuoshan,2022/1/3 12:00,2.50 ,3,7.21,8.668,13.532,3.367,0.025,0.044,0.862,396.954,47.067,0.00392,8894677
Xuhuxin,2022/1/3 12:00,2.50 ,2,8.08,7.768,11.646,2.689,0.0372,0.0114,0.632,380.947,6.208,0.00078,1010340
Xidong,2022/1/3 12:00,2.50 ,4,9.35,8.16,11.617,2.02,0.025,0.065,1.911,390.6,32.3,0.00326,2436460
Wuguishan,2022/1/3 16:00,2.67 ,3,8.67,8.525,13.369,2.869,0.025,0.0311,0.356,414.61,15.301,0.01944,11598300
Wulihuxin,2022/1/3 16:00,2.67 ,3,7.8,8.494,13.399,3.408,0.025,0.0423,0.441,427.228,7.341,0.02452,3799500
Lanshanzui,2022/1/3 16:00,2.67 ,4,7.46,7.941,12.611,4.55,0.1349,0.0563,1.988,495.45,20.11,0.0047,4089810
Tuoshan,2022/1/3 16:00,2.67 ,4,8.34,8.671,13.295,3.581,0.025,0.0516,0.834,394.976,46.168,0.00454,8957414
Xuhuxin,2022/1/3 16:00,2.67 ,2,8.84,7.78,11.655,2.682,0.0274,0.0121,0.398,378.754,7.269,0.00085,950115
Xidong,2022/1/3 16:00,2.67 ,4,10.23,8.21,11.863,2.028,0.025,0.0668,1.912,390,31.4,0.004,2963260
Wuguishan,2022/1/3 20:00,2.83 ,2,8.12,8.562,13.431,3.081,0.025,0.0231,0.435,411.374,12.004,0.0414,12421000
Wulihuxin,2022/1/3 20:00,2.83 ,3,7.2,8.406,12.689,3.265,0.025,0.0459,0.582,428.296,6.76,0.02487,4062900
Lanshanzui,2022/1/3 20:00,2.83 ,4,6.94,7.914,12.489,4.284,0.0934,0.0567,1.86,494.306,21.13,0.00544,4560210
Tuoshan,2022/1/3 20:00,2.83 ,4,7.75,8.474,11.674,3.187,0.025,0.0553,0.899,393.072,44.164,0.00368,10108290
Xuhuxin,2022/1/3 20:00,2.83 ,2,8.37,7.788,11.272,2.572,0.0324,0.013,0.417,379.697,5.255,0.00083,870551
Xidong,2022/1/3 20:00,2.83 ,4,9.97,8.24,11.937,2.013,0.025,0.0634,1.902,389.7,31.9,0.00443,2704640
Wuguishan,2022/1/4 0:00,3.00 ,2,7.74,8.463,12.998,3.001,0.025,0.0134,0.512,409.63,11.842,0.0228,51850900
Wulihuxin,2022/1/4 0:00,3.00 ,4,6.99,8.311,12.275,3.168,0.025,0.0501,0.632,429.729,6.329,0.03053,4278320
Lanshanzui,2022/1/4 0:00,3.00 ,4,7.15,7.806,11.766,5.095,0.0884,0.0602,2.066,500.93,22.21,0.01718,583170
Tuoshan,2022/1/4 0:00,3.00 ,4,7.77,8.278,9.61,2.897,0.025,0.0548,0.845,395.08,44.209,0.00289,7197230
Xuhuxin,2022/1/4 0:00,3.00 ,2,8.27,7.757,10.924,2.795,0.0276,0.0142,0.417,379.454,5.641,0.00141,977606
Xidong,2022/1/4 0:00,3.00 ,4,9.79,8.22,11.812,1.964,0.025,0.0642,1.887,390.4,31.4,0.00368,2630580
Wuguishan,2022/1/4 4:00,3.17 ,2,7.41,8.386,12.916,3.15,0.025,0.0135,0.519,401.905,47.801,0.02004,17978400
Wulihuxin,2022/1/4 4:00,3.17 ,4,6.85,8.289,11.979,3.178,0.025,0.051,0.654,430.507,6.479,0.02745,4295430
Lanshanzui,2022/1/4 4:00,3.17 ,4,6.63,7.821,12.142,4.99,0.1424,0.0577,1.895,499.141,19.86,0.00551,
Tuoshan,2022/1/4 4:00,3.17 ,4,7.13,8.574,12.747,3.414,0.025,0.0574,0.876,393.028,46.361,0.00457,8260655
Xuhuxin,2022/1/4 4:00,3.17 ,2,8.12,7.748,11.031,3.01,0.0258,0.0158,0.304,379.866,5.27,0.00152,903446
Xidong,2022/1/4 4:00,3.17 ,,9.49,8.19,11.707,,,,,390.3,30.9,0.00291,2699710
Wuguishan,2022/1/4 8:00,3.33 ,2,7.38,8.234,12.424,3.08,0.0324,0.0194,0.46,401.091,13.823,0.01166,12887100
Wulihuxin,2022/1/4 8:00,3.33 ,3,6.53,8.264,12.128,3.369,0.025,0.0455,0.468,429.251,9.606,0.02686,3570620
Lanshanzui,2022/1/4 8:00,3.33 ,3,6.51,7.812,12.16,4.985,0.1419,0.0454,1.901,499.61,21.67,0.00509,1060630
Tuoshan,2022/1/4 8:00,3.33 ,3,6.74,8.544,13.313,3.232,0.025,0.0426,0.812,392.973,37.466,0.00482,9452770
Xuhuxin,2022/1/4 8:00,3.33 ,2,7.45,7.884,12.58,2.834,0.0337,0.0134,0.254,379.088,16.539,0.00331,1797520
Xidong,2022/1/4 8:00,3.33 ,4,9.23,8.18,11.654,1.945,0.025,0.0637,1.894,390.5,31.3,0.0034,3802980
Wuguishan,2022/1/4 12:00,3.50 ,3,7.76,8.342,12.775,2.895,0.025,0.0276,0.433,405.217,16.638,0.01383,10687500
Wulihuxin,2022/1/4 12:00,3.50 ,3,6.68,8.346,12.639,3.406,0.025,0.0461,0.617,429.062,10.112,0.02001,3610580
Lanshanzui,2022/1/4 12:00,3.50 ,3,7.27,7.831,12.209,4.688,0.1162,0.0497,1.944,491.151,24.45,0.00293,793715
Tuoshan,2022/1/4 12:00,3.50 ,3,7.19,8.665,13.53,3.255,0.025,0.0459,0.861,393.908,47.014,0.00476,8565698
Xuhuxin,2022/1/4 12:00,3.50 ,2,8.02,7.893,12.735,2.716,0.0329,0.0188,0.555,378.67,14.292,0.00217,1632780
Xidong,2022/1/4 12:00,3.50 ,4,9.72,8.22,11.819,1.969,0.025,0.0617,1.89,391.1,33.3,0.00426,5139740
Wuguishan,2022/1/4 16:00,3.67 ,3,7.88,8.329,12.404,2.994,0.025,0.0265,0.388,395.945,10.217,0.01268,11387400
Wulihuxin,2022/1/4 16:00,3.67 ,3,6.93,8.37,12.873,3.457,0.047,0.0488,0.766,433.207,12.041,0.02502,4117640
Lanshanzui,2022/1/4 16:00,3.67 ,3,7.27,7.84,12.255,4.675,0.1034,0.0467,1.95,493.487,27.01,0.00494,
Tuoshan,2022/1/4 16:00,3.67 ,3,7.28,8.7,13.757,3.14,0.025,0.0492,0.784,378.325,43.718,0.00483,8529224
Xuhuxin,2022/1/4 16:00,3.67 ,2,8.44,7.948,12.643,2.718,0.025,0.0179,0.3,387.523,13.558,0.00353,1862500
Xidong,2022/1/4 16:00,3.67 ,4,10.01,8.23,11.892,2.03,0.025,0.0638,1.911,390.1,31.9,0.00444,4996490
Wuguishan,2022/1/4 20:00,3.83 ,3,8.02,8.322,12.327,3.344,0.025,0.0406,0.952,394.557,24.564,0.01607,14817800
Wulihuxin,2022/1/4 20:00,3.83 ,4,7.09,8.315,12.514,3.464,0.0372,0.0538,0.787,432.494,12.603,0.02645,3810560
Lanshanzui,2022/1/4 20:00,3.83 ,4,7.11,7.935,12.749,5.224,0.0457,0.0619,1.887,495.152,40.34,0.00815,1097710
Tuoshan,2022/1/4 20:00,3.83 ,4,7.19,8.636,13.49,3.45,0.025,0.0533,0.78,385.735,46.114,0.00492,9583602
Xuhuxin,2022/1/4 20:00,3.83 ,2,8.35,7.93,12.496,2.668,0.0315,0.0182,0.467,387.28,11.953,0.00507,1751830
Xidong,2022/1/4 20:00,3.83 ,4,10,8.22,11.777,1.695,0.025,0.0618,1.914,390.2,33.6,0.00463,5820500
Wuguishan,2022/1/5 0:00,4.00 ,3,8.02,8.33,12.369,3.344,0.025,0.0406,0.952,386.489,29.667,0.02184,26903500
Wulihuxin,2022/1/5 0:00,4.00 ,4,6.85,8.281,12.298,3.464,0.025,0.0517,0.787,428.431,13.801,0.0272,4036600
Lanshanzui,2022/1/5 0:00,4.00 ,4,7.15,7.98,12.846,5.224,0.025,0.0712,1.937,498.249,41.79,0.00917,1200980
Tuoshan,2022/1/5 0:00,4.00 ,4,7.28,8.65,13.229,3.45,0.025,0.0533,0.78,387.735,46.819,0.00599,11676450
Xuhuxin,2022/1/5 0:00,4.00 ,2,8.42,7.862,12,2.668,0.0285,0.0172,0.448,388.415,12.663,0.00335,2082360
Xidong,2022/1/5 0:00,4.00 ,4,9.87,8.15,11.508,2.096,0.025,0.066,1.986,392.4,38.1,0.00499,6626040
Wuguishan,2022/1/5 4:00,4.17 ,4,7.95,8.089,11.782,3.206,0.025,0.0562,1.103,367.825,52.839,0.0127,27929100
Wulihuxin,2022/1/5 4:00,4.17 ,4,7.24,8.251,12.22,3.403,0.0654,0.0534,0.904,434.418,12.284,0.02726,4162370
Lanshanzui,2022/1/5 4:00,4.17 ,4,7.17,7.765,11.996,4.515,0.1422,0.0533,1.943,503.865,44.12,0.00368,142548
Tuoshan,2022/1/5 4:00,4.17 ,4,7.38,8.56,12.758,3.682,0.025,0.0561,0.731,405.518,48.821,0.00539,9930396
Xuhuxin,2022/1/5 4:00,4.17 ,2,8.46,7.842,11.748,2.696,0.0283,0.017,0.488,388.04,12.509,0.00331,1755500
Xidong,2022/1/5 4:00,4.17 ,4,10.01,8.15,11.437,2.061,0.025,0.0665,1.969,391.4,36.3,0.00398,5993800
Wulihuxin,2022/1/5 8:00,4.33 ,3,6.99,8.201,11.959,3.405,0.025,0.0481,0.453,430.078,13.632,0.02711,3910660
Lanshanzui,2022/1/5 8:00,4.33 ,4,7.15,7.64,11.559,9.637,0.1999,0.0913,1.981,504.039,66.35,0.00311,3422560
Tuoshan,2022/1/5 8:00,4.33 ,4,7.43,8.539,12.573,3.73,0.025,0.0503,0.685,408.436,47.056,0.0059,9245923
Xuhuxin,2022/1/5 8:00,4.33 ,2,8.52,7.811,11.513,2.517,0.0323,0.0161,0.217,389.022,13.887,0.0034,1756900
Xidong,2022/1/5 8:00,4.33 ,4,9.88,8.14,11.4,2.035,0.025,0.0681,1.958,391.1,35.2,0.00388,5098850
Wulihuxin,2022/1/5 12:00,4.50 ,3,7.08,8.174,11.907,3.292,0.0327,0.0493,0.777,429.523,11.629,0.02424,3738120
Lanshanzui,2022/1/5 12:00,4.50 ,5,7.29,7.735,11.802,9.475,0.1865,0.1045,2.028,517.499,72.98,0.00505,3945480
Tuoshan,2022/1/5 12:00,4.50 ,4,7.43,8.476,12.447,4.261,0.025,0.0839,1.08,399.736,70.719,0.00551,10150870
Xuhuxin,2022/1/5 12:00,4.50 ,2,8.59,7.825,11.621,2.608,0.0318,0.0203,0.991,386.986,12.922,0.00345,1759360
Xidong,2022/1/5 12:00,4.50 ,4,9.7,8.16,11.525,2.03,0.025,0.073,2.038,388.9,39.2,0.00549,4279070
Wuguishan,2022/1/5 16:00,4.67 ,4,8.32,8.258,11.808,4.144,0.025,0.0656,1.086,394.158,62.413,0.02109,39937500
Wulihuxin,2022/1/5 16:00,4.67 ,4,7.16,8.169,11.872,3.296,0.0393,0.0514,0.793,429.013,12.266,0.03006,4032440
Lanshanzui,2022/1/5 16:00,4.67 ,5,7.33,7.629,11.47,9.21,0.2428,0.1076,2.188,522.033,72.79,0.00515,4420130
Tuoshan,2022/1/5 16:00,4.67 ,4,7.63,8.459,12.31,3.636,0.025,0.0668,0.599,402.915,60.715,0.0064,8944335
Xuhuxin,2022/1/5 16:00,4.67 ,2,8.63,7.806,11.5,2.609,0.0333,0.0171,0.435,388.947,14.546,0.00346,1576500
Xidong,2022/1/5 16:00,4.67 ,4,9.84,8.13,11.473,2.075,0.025,0.0691,2.016,387.6,38.7,0.00513,3664260
Wulihuxin,2022/1/5 20:00,4.83 ,4,7.03,8.114,11.65,3.209,0.0317,0.0532,0.781,427.599,11.46,0.02782,4020600
Lanshanzui,2022/1/5 20:00,4.83 ,5,7.35,7.616,11.319,5.753,0.3095,0.1173,2.16,542.444,66.78,0.00618,4258330
Tuoshan,2022/1/5 20:00,4.83 ,4,7.42,8.472,12.319,3.304,0.025,0.0664,0.719,382.56,64.86,0.00582,10820610
Xuhuxin,2022/1/5 20:00,4.83 ,2,8.56,7.801,11.446,2.618,0.0319,0.0171,0.452,387.156,12.177,0.00387,2124710
Xidong,2022/1/5 20:00,4.83 ,4,9.87,8.15,11.42,2.078,0.025,0.0686,1.98,387.4,36.2,0.00474,4916410
Wuguishan,2022/1/6 0:00,5.00 ,4,8.2,8.256,11.697,4.114,0.025,0.0741,1.014,394.301,57.023,0.02652,34934000
Wulihuxin,2022/1/6 0:00,5.00 ,3,7.26,8.094,11.446,3.209,0.0283,0.0377,0.74,427.941,10.955,0.03041,4275000
Lanshanzui,2022/1/6 0:00,5.00 ,5,7.35,7.564,11.202,5.753,0.3467,0.1063,2.165,549.155,56.35,0.00624,4133950
Tuoshan,2022/1/6 0:00,5.00 ,4,7.47,8.464,12.015,3.304,0.025,0.0631,0.754,402.195,70.177,0.00549,10931450
Xuhuxin,2022/1/6 0:00,5.00 ,2,8.46,7.778,11.316,2.618,0.0411,0.0171,0.45,388.12,11.936,0.00344,1755580
Xidong,2022/1/6 0:00,5.00 ,4,9.65,8.15,11.449,2.078,0.025,0.0686,1.98,388.2,34.8,0.00619,5567470
Wuguishan,2022/1/6 4:00,5.17 ,4,8.14,8.193,11.571,3.845,0.025,0.0681,1.028,395.388,50.803,0.01705,27789100
Wulihuxin,2022/1/6 4:00,5.17 ,4,7.43,7.979,11.134,3.522,0.2994,0.0616,1.333,443.875,11.385,0.03249,4943590
Lanshanzui,2022/1/6 4:00,5.17 ,5,7.31,7.589,11.121,5.264,0.3711,0.1011,2.171,555.998,52.2,0.00643,2352340
Tuoshan,2022/1/6 4:00,5.17 ,3,7.34,8.447,12.114,3.766,0.025,0.0483,0.741,387.108,59.309,0.00561,10803150
Xuhuxin,2022/1/6 4:00,5.17 ,,8.4,7.756,11.193,,,,,388.481,15.658,0.00358,1972250
Xidong,2022/1/6 4:00,5.17 ,4,9.44,8.13,11.452,1.946,0.025,0.0651,2.005,388,34.6,0.00485,5582970
Wuguishan,2022/1/6 8:00,5.33 ,4,8.11,8.213,11.553,3.9,0.025,0.0607,1.081,393.753,53.841,0.02118,30487000
Wulihuxin,2022/1/6 8:00,5.33 ,,7.26,7.995,11.057,,0.1247,0.0482,0.788,433.995,11.217,0.02636,3937200
Lanshanzui,2022/1/6 8:00,5.33 ,4,7.27,7.568,11.102,5.211,0.3999,0.0995,2.298,559.412,56.73,0.00655,3674900
